route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SUN.,2722.4,5
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SUN.,2148.2,5
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,SUN.,815.2,5
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SUN.,453,5
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,171.4,5
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SUN.,209,5
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SUN.,1622,5
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SUN.,1093,5
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SUN.,1797.2,5
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SUN.,1203.2,5
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SUN.,1111.2,5
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,572,5
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,361.2,5
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,453.2,5
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SUN.,1589.4,5
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SUN.,639,5
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SUN.,1415.4,5
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SUN.,182.4,5
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SUN.,1109,5
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SUN.,153,5
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SUN.,895.2,5
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SUN.,561.4,5
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SUN.,2826.2,5
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,519.2,5
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,310,5
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,WEEKDAY,1551.59090909091,22
2,002,2 - MOUNT ROYAL,Ross,Bus,2017-01-01,201701,WEEKDAY,1019.90909090909,22
4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,683.772727272727,22
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,1134.90909090909,22
7,007,7 - SPRING GARDEN,Ross,Bus,2017-01-01,201701,WEEKDAY,147.136363636364,22
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,WEEKDAY,3071.40909090909,22
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,WEEKDAY,546.181818181818,22
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,WEEKDAY,932.681818181818,22
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,WEEKDAY,2005.90909090909,22
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,WEEKDAY,1133.90909090909,22
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,WEEKDAY,1000.45454545455,22
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,WEEKDAY,3736.5,22
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,WEEKDAY,1137.27272727273,22
18,018,18 - MANCHESTER,Ross,Bus,2017-01-01,201701,WEEKDAY,82.6363636363636,22
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-01-01,201701,WEEKDAY,632.909090909091,22
20,020,20 - KENNEDY,Collier,Bus,2017-01-01,201701,WEEKDAY,526.181818181818,22
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,WEEKDAY,1164.31818181818,22
22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,WEEKDAY,764.818181818182,22
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,WEEKDAY,1469.27272727273,22
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,WEEKDAY,965.545454545455,22
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,WEEKDAY,1058.95454545455,22
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1744.40909090909,22
29,029,29 - ROBINSON,Collier,Bus,2017-01-01,201701,WEEKDAY,824.772727272727,22
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,1510.5,22
36,036,36 - BANKSVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,540.863636363636,22
38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,WEEKDAY,2353.27272727273,22
39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,WEEKDAY,1447.95454545455,22
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,587.909090909091,22
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,WEEKDAY,1652.18181818182,22
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,WEEKDAY,701.136363636364,22
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,WEEKDAY,968.181818181818,22
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,WEEKDAY,2957.31818181818,22
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,7397.68181818182,22
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,702.136363636364,22
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,407.909090909091,22
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1287.77272727273,22
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,WEEKDAY,3775.40909090909,22
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,802.954545454545,22
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1617.95454545455,22
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1153.22727272727,22
58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1139.13636363636,22
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1834.81818181818,22
60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,462.181818181818,22
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4466.5,22
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4035.22727272727,22
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,5764.31818181818,22
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,4859.13636363636,22
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1566.81818181818,22
65,065,65 - SQUIRREL HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,391,22
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1953.36363636364,22
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,302.727272727273,22
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,1588.72727272727,22
71,071,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,109.590909090909,22
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,5747.22727272727,22
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,WEEKDAY,4569.95454545455,22
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,5609.5,22
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,WEEKDAY,4271,22
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,WEEKDAY,874.590909090909,22
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,WEEKDAY,3020.86363636364,22
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2065.63636363636,22
78,078,78 - OAKMONT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,113.409090909091,22
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,928.227272727273,22
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1539.13636363636,22
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,3627.86363636364,22
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,2168.81818181818,22
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2714.13636363636,22
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2676.81818181818,22
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,WEEKDAY,2992.5,22
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,399.227272727273,22
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,WEEKDAY,3932.77272727273,22
93,093,93 - LAWRENCEVILLE - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1644.22727272727,22
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,WEEKDAY,3628.09090909091,22
G3,G3,G3 - MOON FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,925.409090909091,22
G31,G31,G31 - BRIDGEVILLE FLYER,Collier,Bus,2017-01-01,201701,WEEKDAY,597.454545454545,22
O1,O1,O1 - ROSS FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,1233.09090909091,22
O12,O12,O12 - MCKNIGHT FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,1376.95454545455,22
O5,O5,O5 - THOMPSON RUN FLYER VIA 279,Ross,Bus,2017-01-01,201701,WEEKDAY,100.681818181818,22
