route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6554,Clever
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SAT.,0.6184,Clever
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SUN.,0.6581,Clever
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.8016,Clever
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SAT.,0.8384,Clever
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7471,Clever
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.701,Clever
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7886,Clever
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7762,Clever
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7403,Clever
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6512,Clever
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7569,Clever
58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6883,Clever
58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SAT.,0.6677,Clever
58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SUN.,0.7425,Clever
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7074,Clever
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7193,Clever
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7561,Clever
60,060,60 - MCKEESPORT - WALNUT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7407,Clever
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6263,Clever
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SAT.,0.746,Clever
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6947,Clever
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6642,Clever
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7754,Clever
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6217,Clever
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6477,Clever
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6728,Clever
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SUN.,0.6128,Clever
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6759,Clever
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6071,Clever
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SUN.,0.5907,Clever
64,064,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6878,Clever
64,064,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-01-01,201701,SAT.,0.7174,Clever
64,064,64 - LAWRENCEVILLE - WATERFRONT,East Liberty/West Mifflin,Bus,2017-01-01,201701,SUN.,0.7343,Clever
65,065,65 - SQUIRREL HILL,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6899,Clever
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6526,Clever
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SAT.,0.6417,Clever
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SUN.,0.7663,Clever
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7612,Clever
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,0.7204,Clever
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SUN.,0.7848,Clever
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6316,Clever
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SAT.,0.6595,Clever
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SUN.,0.6468,Clever
71,071,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7901,Clever
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5719,Clever
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SAT.,0.7589,Clever
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SUN.,0.6325,Clever
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6098,Clever
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SAT.,0.7616,Clever
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SUN.,0.7485,Clever
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5496,Clever
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SAT.,0.6233,Clever
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SUN.,0.6733,Clever
